Date	Transaction Name	Vendor	Subteam	Order ID	Cost	Order Cost
1/8/2015	2 mm end mill	McMaster	Drive	0108a1	62.60	
1/8/2015	0.0197" drill	McMaster	Drive	0108a1	6.40	
1/8/2015	0.07" end mill	McMaster	Drive	0108a1	42.47	
1/8/2015	20 mm drill bit	McMaster	Drive	0108a1	31.96	
1/10/2015	Multipurpose 6061 Aluminum U-Channel, 2" Base x 1" Legs	McMaster	Task	0110a1	3.59	343.94
1/10/2015	Super-Swivel Ball Joint Rod Ends	McMaster	Drive	0110a1	61.08	
1/10/2015	Stainless Steel L-Brackets	McMaster	Drive	0110a1	8.48	
1/10/2015	Pivot Shift	McMaster	Drive	0110a1	20.38	
1/10/2015	square tube (1" x 1" by 2 ft with 1/8" wall thickness)	McMaster	Drive	0110a1	12.01	
1/10/2015	1/4" diameter shoulder screw	McMaster	Drive	0110a1	169.75	
1/10/2015	Alloy Steel Shoulder Screw 1/4'' Diameter x 1/2''Long Shoulder, 10-24 Thread	McMaster	Drive	0110a1	25.20	
1/10/2015	5/8" diameter rod 2 ft long	McMaster	Drive	0110a1	14.04	
1/10/2015	shaft collars for 5/8" diameter shaft	McMaster	Drive	0110a1	20.88	
1/12/2015	2 mm end mill	McMaster	Task	0112a1	46.95	46.95
1/13/2015	18-8 Stainless Steel Socket Head Cap Screw	McMaster	Drive	0113a1	10.24	173.30
1/13/2015	Alloy Steel Socket Head Cap Screws	McMaster	Drive	0113a1	10.37	
1/13/2015	6061 Aluminum	McMaster	Drive	0113a1	5.76	
1/13/2015	Aluminum 6061	McMaster	Drive	0113a1	2.39	
1/13/2015	Black oxide alloy steel socket head cap screw	McMaster	Drive	0113a1	12.09	
1/13/2015	Black Luster-Coated Steel Nylon-Insert Locknut, Hex, 5/16"-18 Thread Size, 1/2" Width, 11/32" Height	McMaster	Drive	0113a1	7.34	
1/13/2015	Torsional Spring	McMaster	Drive	0113a1	9.26	
1/13/2015	Lapping Grain Multipurpose, Polished, 5 Microns	McMaster	Task	0113a1	105.60	
1/13/2015	73:1 Metal Gearmotor 20Dx42L mm	Pololu	Task	0113a2	39.90	48.35
1/14/2015	mother's aluminum polish	Amazon	Drive	0114a1	17.98	79.31
1/14/2015	microfiber cloths for polishing	Amazon	Drive	0114a1	12.99	
1/15/2015	Metric Coiled Spring Pin, Steel, M8 Diameter, 19mm Length	McMaster	Drive	0115a1	23.06	31.80
1/15/2015	Black-Oxide Class 12.9 Socket Head Cap Screw Alloy Steel, M1.6 Thread, 8 mm Long, 0.35 mm Pitch	McMaster	Task	0115a1	3.01	
1/15/2015	NetPrint	Cornell	Business	0216a5	6.21	6.21
1/16/2015	Metric Male-Female Threaded Hex Standoff 18-8 Stainless Steel, 6mm Hex, 20mm Length, M4 screw	McMaster	Task	0116a1	11.52	88.34
1/16/2015	Steel Ball Bearing, Flanged Double Sealed for 1/4" Shaft Diameter, 11/16" OD	McMaster	Task	0116a1	6.79	
1/16/2015	Steel Ball Bearing, Flanged Double Sealed for 1/2" Shaft Diameter, 1-1/8" OD	McMaster	Task	0116a1	21.26	
1/16/2015	Stainless Steel 20 Degree Pressure Angle Spur Gear 32 Pitch, 20 Teeth, 0.625" Pitch Diameter, 1/4" Bore	McMaster	Task	0116a1	18.25	
1/16/2015	18-8 Stainless Steel Unthreaded Spacer, 5/16" OD, 3/8" Length, No. 8 (for 8-32 clearance)	McMaster	Task	0116a1	9.12	
1/16/2015	Steel Tapered-Roller Bearing, Roller Assembly for 1" Shaft Diameter, #L44643	McMaster	Task	0116a1	15.67	
1/16/2015	Screw Terminal Blocks	DigiKey	Electrical	0116a2	40.25	48.71
1/16/2015	298:1 Micro Metal Gearmotor HP	Pololu	Task	0116a3	15.95	19.90
1/16/2015	32 Pitch Hub gears (1" bore) 128 teeth	ServoCity	Task	0116a4	16.99	23.98
1/21/2015	Rectangular tube, 2 ft long	McMaster	Drive	0121a1	12.01	19.98
1/21/2015	PCA9685 LED PWM I2C Driver	Mouser	Electrical	0121a2	12.35	20.89
1/24/2015	Accupro - Corner Radius & Corner Chamfer End Mills Mill Diameter (Inch): 1/4 Mill Diameter (Decimal Inch): 0.2500	MSC	Task	0124a2	53.05	69.82
1/24/2015	l bracket	McMaster	Drive	0124a1	6.96	72.55
